This is first line
2019-03-16 12:32:25 status half-installed busybox-static:amd64 1:1.27.2-2ubuntu3
2019-03-16 12:32:25 status unpacked busybox-static:amd64 1:1.27.2-2ubuntu3.1
2019-03-16 12:32:25 status unpacked busybox-static:amd64 1:1.27.2-2ubuntu3.1
2019-03-16 12:32:25 upgrade python3-problem-report:all 2.20.9-0ubuntu7.5 2.20.9-0ubuntu7.6
2019-03-16 12:32:25 status half-configured python3-problem-report:all 2.20.9-0ubuntu7.5
2019-03-16 12:32:25 status unpacked python3-problem-report:all 2.20.9-0ubuntu7.5
2019-03-16 12:32:25 status half-installed python3-problem-report:all 2.20.9-0ubuntu7.5
2019-03-16 12:32:25 status half-installed python3-problem-report:all 2.20.9-0ubuntu7.5
2019-03-16 12:32:26 status unpacked python3-problem-report:all 2.20.9-0ubuntu7.6
2019-03-16 12:32:26 status unpacked python3-problem-report:all 2.20.9-0ubuntu7.6
2019-03-16 12:32:26 upgrade python3-apport:all 2.20.9-0ubuntu7.5 2.20.9-0ubuntu7.6
2019-03-16 12:32:26 status half-configured python3-apport:all 2.20.9-0ubuntu7.5
2019-03-16 12:32:26 status unpacked python3-apport:all 2.20.9-0ubuntu7.5
2019-03-16 12:32:26 status half-installed python3-apport:all 2.20.9-0ubuntu7.5
2019-03-16 12:32:26 status half-installed python3-apport:all 2.20.9-0ubuntu7.5
2019-03-16 12:32:27 status unpacked python3-apport:all 2.20.9-0ubuntu7.6
2019-03-16 12:32:27 status unpacked python3-apport:all 2.20.9-0ubuntu7.6
2019-03-16 12:32:27 upgrade apport:all 2.20.9-0ubuntu7.5 2.20.9-0ubuntu7.6
2019-03-16 12:32:27 status half-configured apport:all 2.20.9-0ubuntu7.5
2019-03-16 12:32:28 status unpacked apport:all 2.20.9-0ubuntu7.5
2019-03-16 12:32:28 status half-installed apport:all 2.20.9-0ubuntu7.5
2019-03-16 12:32:28 status triggers-pending systemd:amd64 237-3ubuntu10.15
2019-03-16 12:32:28 status triggers-pending hicolor-icon-theme:all 0.17-2
2019-03-16 12:32:28 status half-installed apport:all 2.20.9-0ubuntu7.5
2019-03-16 12:32:30 status unpacked apport:all 2.20.9-0ubuntu7.6
2019-03-16 12:32:30 status unpacked apport:all 2.20.9-0ubuntu7.6
2019-03-16 12:32:30 upgrade apport-gtk:all 2.20.9-0ubuntu7.5 2.20.9-0ubuntu7.6
2019-03-16 12:32:30 status half-configured apport-gtk:all 2.20.9-0ubuntu7.5
2019-03-16 12:32:30 status unpacked apport-gtk:all 2.20.9-0ubuntu7.5
